Country,Income_group,Year,Males_Overweight,Males_Obesity,Females_Overweight,Females_Obesity,All_Overweight,All_Obesity
United States,High income,2021-2023,36.2,38.4,28.6,41.3,32.1,40.3
Mexico,Upper-middle income,2023,40.1,36.1,34.6,41.6,37.3,38.9
Canada,High income,2022-2024,39.6,34.8,30.2,32.1,34.9,33.5
United Kingdom,High income,2014,40.5,19.8,31.4,20.4,35.6,20.1
Germany,High income,2019,41.6,19.1,27.5,19.0,34.5,19.0
France,High income,2022,37.7,15.1,25.3,15.3,31.2,15.2
Italy,High income,2023-2024,40.7,11.2,24.6,9.6,32.6,10.4
Spain,High income,2023-2024,47.0,15.2,32.9,15.1,39.8,15.2
China,Upper-middle income,2015,36.36,6.3,28.87,6.79,33.07,6.51
Japan,High income,2023,26.8,4.7,16.7,4.4,21.4,4.6
India,Lower-middle income,2019-2021,18.9,4.0,17.6,6.4,18.3,5.2
Australia,High income,2022-2023,38.6,32.5,29.6,30.9,34.0,31.7
Brazil,Upper-middle income,2023,39.6,23.8,34.8,24.8,37.1,24.3
Argentina,Upper-middle income,2018,38.7,31.4,29.1,33.4,33.7,32.4
Chile,High income,2016-2017,43.3,30.3,36.4,38.4,39.8,34.4
Egypt,Lower-middle income,2016-2017,29.0,24.8,25.3,48.8,27.3,35.7
Saudi Arabia,High income,2024,46.3,22.8,42.6,23.5,45.1,23.1
Turkey,Upper-middle income,2023,41.3,20.0,29.7,30.8,35.5,25.4
South Africa,Upper-middle income,2021-2022,22.9,15.3,26.6,41.3,25.3,32.1
Ethiopia,Low income,2016,3.1,0.4,6.0,1.5,4.4,1.0
Kenya,Lower-middle income,2022,14.6,4.2,27.5,17.3,21.1,10.8
Russia,High income,2020-2022,44.0,30.0,33.7,39.5,38.4,35.2
Poland,High income,2025,48.8,15.3,35.7,12.6,41.9,13.9
Greece,High income,2022,50.8,12.3,35.7,11.6,42.9,12.0
Indonesia,Upper-middle income,2013,16.3,3.0,24.2,8.2,20.2,5.6
Philippines,Lower-middle income,2021-2022,28.3,7.3,31.7,12.2,30.2,10.0
Vietnam,Lower-middle income,2021,17.2,2.1,17.5,2.2,17.4,2.1
Thailand,Upper-middle income,2019-2020,27.8,10.0,30.0,16.4,28.9,13.3
Bangladesh,Lower-middle income,2022,18.1,1.9,30.0,8.4,24.0,5.2
South Korea,High income,2022,40.5,8.63,23.5,5.71,32.3,7.28
Singapore,High income,2023-2024,33.9,13.1,21.1,12.3,27.4,12.7
New Zealand,High income,2024-2025,37.9,32.5,28.6,35.8,33.2,34.2
Norway,High income,2022,42.0,18.3,30.9,15.1,36.7,16.8
Sweden,High income,2024,40.6,18.0,29.9,18.4,35.3,18.2
Denmark,High income,2023,40.4,18.1,28.4,19.2,34.2,18.7
Finland,High income,2023,44.1,26.9,34.2,29.6,39.1,28.3
Netherlands,High income,2024,39.7,14.9,30.7,17.1,35.1,16.0
Switzerland,High income,2022,39.8,14.7,24.0,12.1,31.8,13.4
Austria,High income,2022,42.7,18.7,27.6,16.7,35.0,17.7
Belgium,High income,2022,38.1,16.9,28.4,14.7,33.2,15.8
Ireland,High income,2023-2024,41.0,22.0,30.0,20.0,35.0,21.0
Portugal,High income,2022,42.9,16.0,32.3,15.6,37.2,15.8
Czech Republic,High income,2022,45.5,18.5,32.3,17.1,38.7,17.8
Hungary,High income,2022,40.7,24.6,32.1,20.0,36.2,22.2
Romania,High income,2022,58.1,10.4,41.4,10.2,49.4,10.3
Ukraine,Upper-middle income,2019,37.8,20.1,30.4,29.8,34.3,24.8
Cuba,Upper-middle income,2010,32.7,12.8,30.8,18.8,31.7,15.8
Colombia,Upper-middle income,2022,37.9,15.6,36.6,27.6,37.2,21.7
Peru,Upper-middle income,2024,37.4,21.1,35.7,29.9,36.5,25.7
Ecuador,Upper-middle income,2018,39.4,20.3,36.5,30.9,37.9,25.7
Bolivia,Lower-middle income,2019,39.1,20.8,35.1,31.8,37.1,26.2
Morocco,Lower-middle income,2017-2018,31.6,11.0,34.4,29.0,33.0,20.0
Algeria,Upper-middle income,2016-2017,34.2,14.1,33.2,30.1,33.8,21.8
Iran,Upper-middle income,2021,39.6,17.2,36.8,31.2,38.1,25.0
Iraq,Upper-middle income,2015,33.1,25.6,30.6,42.6,31.9,33.5
Jordan,Lower-middle income,2017,41.2,36.1,29.1,48.2,44.7,32.7
Lebanon,Lower-middle income,2016-2017,44.7,26.6,31.4,27.5,37.9,27.0
Israel,High income,2018-2020,43.0,18.9,33.7,16.6,38.3,17.7
Qatar,High income,2012,32.3,39.5,25.1,43.2,28.7,41.4
Bahrain,High income,2018,38.7,33.0,30.9,42.5,35.5,36.9
Oman,High income,2017,40.1,23.2,30.0,39.3,35.5,30.7
United Arab Emirates,High income,2017-2018,45.7,25.1,34.3,30.6,40.1,27.8
Malaysia,Upper-middle income,2024,33.9,19.3,26.7,27.5,30.5,23.1
Cook Islands,,2022,18.3,74.2,16.1,76.8,17.6,75.0
Nauru,High income,2023,26.5,55.7,21.8,60.5,24.1,58.1
Tonga,Upper-middle income,2017,22.8,66.8,12.3,82.8,16.1,77.1
American Samoa,High income,2017-2018,-,77.1,-,82.7,-,80.2
